ticker,company name,Company,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3,Location_HQ,Industry,Laid_Off_Count,Percentage,Date,Source,Funds_Raised,Stage,Date_Added,Country,List_of_Employees_Laid_Off
COHR,Coherent Inc.,Coherent,Computer Hardware,"Coherent Inc is a supplier of photonics-based solutions in a range of commercial and scientific research applications. It designs, manufactures, services and markets lasers and related accessories for a diverse group of customers.",http://www.coherent.com,COHR.png,John R. Ambroseo,Nasdaq Global Select,2989737788,Technology,Technology,Scientific & Technical Instruments,Computer Hardware,SF Bay Area,Manufacturing,108,,3/16/2023,https://www.siliconvalley.com/2023/03/16/coherent-fremont-job-cut-tech-layoff-google-facebook-twitter-economy/,,Post-IPO,3/17/2023 4:11,United States,Unknown
CRCM,Care.com Inc.,Care.com,Online Media,Care.com Inc is an online marketplace for finding and managing family care and also e-commerce service selling curated products designed for families. It helps families address their particular lifecycle of care needs.,http://www.care.com,CRCM.png,Sheila Lirio Marcelo,New York Stock Exchange,762487000,Technology,Technology,Internet Content & Information,Online Media,Boston,Consumer,81,,4/30/2020,https://www.bloomberg.com/news/articles/2020-04-30/iac-to-cut-81-care-com-employees-in-restructuring-after-deal,156,Acquired,5/1/2020 3:40,United States,Unknown
DBX,Dropbox Inc,Dropbox,Application Software,"Dropbox Inc offers security software. It is a collaboration platform where more and more of the content is created, accessed, and shared with the world.",https://www.dropbox.com,DBX.png,Andrew W. Houston,Nasdaq Global Select,9988283869,Technology,Technology,Software - Infrastructure,Application Software,SF Bay Area,Other,315,0.15,1/13/2021,https://www.cnbc.com/2021/01/13/dropbox-to-cut-11percent-of-its-global-workforce.html,1700,Post-IPO,1/13/2021 17:21,United States,Unknown
DMRC,Digimarc Corporation,Digimarc,Application Software,"Digimarc Corp is an Information Technology company. It develops solutions, licenses intellectual property, and provides development services to global business partners across industries.",http://www.digimarc.com,DMRC.png,Bruce Davis,Nasdaq Global Select,250328511,Technology,Technology,Information Technology Services,Application Software,Portland,Other,,,2/17/2023,https://www.oregonlive.com/silicon-forest/2023/02/oregon-tech-company-digimarc-will-lay-off-17-of-its-workforce.html,105,Post-IPO,2/24/2023 5:05,United States,Unknown
DOCU,DocuSign Inc.,DocuSign,Application Software,"DocuSign Inc offers e-signature solution. It allows companies and users to make every agreement, approval process, or transaction digital from any device, virtually anywhere in the world in a secured manner.",https://www.docusign.com,,Daniel D. Springer,Nasdaq Global Select,8434393942,Technology,Technology,Software - Application,Application Software,SF Bay Area,Sales,680,0.1,2/16/2023,https://www.cnbc.com/2023/02/16/docusign-layoffs-company-to-cut-10percent-of-workforce.html,536,Post-IPO,2/16/2023 15:33,United States,Unknown
DOCU,DocuSign Inc.,DocuSign,Application Software,"DocuSign Inc offers e-signature solution. It allows companies and users to make every agreement, approval process, or transaction digital from any device, virtually anywhere in the world in a secured manner.",https://www.docusign.com,,Daniel D. Springer,Nasdaq Global Select,8434393942,Technology,Technology,Software - Application,Application Software,SF Bay Area,Sales,671,0.09,9/28/2022,https://www.sfgate.com/news/article/san-francisco-tech-company-docusign-layoffs-17473918.php,536,Post-IPO,9/28/2022 14:59,United States,Unknown
DOMO,Domo Inc.,Domo,Application Software,,http://www.domo.com,DOMO.png,Joshua G. James,NASDAQ Global Market,707963370,Technology,Technology,Software - Application,Application Software,Salt Lake City,Data,90,0.1,4/9/2020,https://www.ksl.com/article/46740514/domo-forced-to-lay-off-10-of-workforce-due-to-economic-impact-caused-by-covid-19,689,Post-IPO,4/11/2020 4:56,United States,Unknown
DOV,Dover Corporation,Dover,Industrial Products,"Dover Corp is a multi-business operator in North America. It has footprint in engineered systems, energy, fluids and refrigeration and food equipment businesses.",http://www.dovercorporation.com,DOV.png,Richard J. Tobin,New York Stock Exchange,12773379113,Industrials,Industrials,Diversified Industrials,Industrial Products,SF Bay Area,Recruiting,23,0.3,7/26/2022,https://blog.dover.io/changes-to-our-team/,22,Series A,7/26/2022 21:51,United States,Unknown
EA,Electronic Arts Inc.,Electronic Arts,Application Software,"Electronic Arts Inc operates in the technology sector. It develops, markets, publishes and distributes video game software and content of various platforms.",http://www.ea.com,EA.png,Andrew Wilson,Nasdaq Global Select,26717240587,Technology,Technology,Electronic Gaming & Multimedia,Application Software,SF Bay Area,Consumer,780,0.06,3/29/2023,https://www.wsj.com/articles/electronic-arts-says-it-is-laying-off-6-of-workforce-d9c2b7e1?mod=djemalertNEWS,2,Post-IPO,3/29/2023 21:00,United States,Unknown
EA,Electronic Arts Inc.,Electronic Arts,Application Software,"Electronic Arts Inc operates in the technology sector. It develops, markets, publishes and distributes video game software and content of various platforms.",http://www.ea.com,EA.png,Andrew Wilson,Nasdaq Global Select,26717240587,Technology,Technology,Electronic Gaming & Multimedia,Application Software,Baton Rouge,Consumer,200,,2/28/2023,https://kotaku.com/ea-apex-legends-bugs-layoffs-respawn-zoom-1850168472,2,Post-IPO,3/2/2023 4:10,United States,Unknown
EB,Eventbrite Inc. Class A,Eventbrite,Application Software,,https://www.eventbrite.com,EB.png,Julia Hartz,New York Stock Exchange,2461837776,Technology,Technology,Software - Application,Application Software,SF Bay Area,Consumer,80,0.08,2/28/2023,https://www.reuters.com/markets/us/ticketing-service-provider-eventbrite-lay-off-8-workforce-2023-02-28/,557,Post-IPO,3/1/2023 0:59,United States,https://docs.google.com/spreadsheets/d/1HWHQissWfO_u0hDYgOv9OYCUDbpWImXTT0od04G2fJg/htmlview
EB,Eventbrite Inc. Class A,Eventbrite,Application Software,,https://www.eventbrite.com,EB.png,Julia Hartz,New York Stock Exchange,2461837776,Technology,Technology,Software - Application,Application Software,SF Bay Area,Consumer,500,0.45,4/8/2020,https://layoffs.fyi/2020/04/13/eventbrite-laid-off-500-employees/,332,Post-IPO,4/8/2020 20:36,United States,Unknown
EBAY,eBay Inc.,eBay,Retail - Apparel & Specialty,"eBay Inc is a commerce platform and provides online marketplace for sale of goods. Its marketplace platforms include its online marketplace located at www.ebay.com, its localized counterparts and the eBay mobile apps.",http://www.ebay.com,EBAY.png,Devin N. Wenig,Nasdaq Global Select,32066559808,Consumer Cyclical,Consumer Cyclical,Specialty Retail,Retail - Apparel & Specialty,SF Bay Area,Retail,500,0.04,2/7/2023,https://www.reuters.com/technology/ebay-lay-off-500-employees-2023-02-07/,1200,Post-IPO,2/7/2023 22:26,United States,https://docs.google.com/spreadsheets/d/19dj85tMJDVQ4v-85elXfMNn7R9UwOcqOFSzoQnGa2T4/edit?resourcekey#gid=766625628
